id,name,url,protected,pinned_tweet_id,profile_image_url,username,public_metrics,description,entities,verified,location
1535845946,Logan Wilkin,http://t.co/BuXcRKuBRs,False,,https://pbs.twimg.com/profile_images/378800000042918495/b0aaeb3c5f6c8ce3b75579610777ec59_normal.jpeg,LoganWilkin,"{'followers_count': 138, 'following_count': 1131, 'tweet_count': 4354, 'listed_count': 4}",Filmmaker; former high school wrestler.,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/BuXcRKuBRs', 'expanded_url': 'http://YouTube.com/LoganNewWave', 'display_url': 'YouTube.com/LoganNewWave'}]}}",False,
117532726,A. Agirregomezkorta,https://t.co/OubWmZmWGq,False,9.985137829378499e+17,https://pbs.twimg.com/profile_images/937057867277983744/PDyysVbN_normal.jpg,Andoni_Agk,"{'followers_count': 27602, 'following_count': 241, 'tweet_count': 18658, 'listed_count': 176}","En realidad ni estoy gordo, ni soy bajito, ni soy tan gracioso. La tele es lo que tiene, que es todo mentira...","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/OubWmZmWGq', 'expanded_url': 'http://www.gosua.com/andoni-agirregomezkorta/', 'display_url': 'gosua.com/andoni-agirreg…'}]}}",True,
349787917,chris heggemeier,,False,,https://pbs.twimg.com/profile_images/1502411356485599242/Gsz2L-I0_normal.jpg,cheezy6666,"{'followers_count': 43, 'following_count': 112, 'tweet_count': 159, 'listed_count': 0}",,,False,
48682389,Alex B,,False,,https://pbs.twimg.com/profile_images/2912658072/1f991d7955047f34a717b2c4ba41e0f7_normal.jpeg,alexvr6,"{'followers_count': 78, 'following_count': 600, 'tweet_count': 7076, 'listed_count': 6}",,,False,
20680254,"Charlene ""That Ol' Thing"" Boyce (she/her)",https://t.co/TTVR7fguH8,False,1.4776420530351718e+18,https://pbs.twimg.com/profile_images/1514307631346761732/qqOTg4o-_normal.jpg,cr8tiveCandy,"{'followers_count': 2956, 'following_count': 3751, 'tweet_count': 71883, 'listed_count': 123}",writer. cultural historian. hedge witch. used to be cool. (not really). Living on the air in not-Cincinnati.,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/TTVR7fguH8', 'expanded_url': 'http://bloodredturpentine.blogspot.com', 'display_url': 'bloodredturpentine.blogspot.com'}]}}",False,K’jipuktuk (Halifax NS)
41207797,amy blasco,,False,,https://pbs.twimg.com/profile_images/1148247072824602624/H8EVcrAe_normal.jpg,arb913,"{'followers_count': 1425, 'following_count': 3737, 'tweet_count': 28332, 'listed_count': 31}",,,False,
20972712,THEE Vaccinated Survivor,,False,1.1754300502141092e+18,https://pbs.twimg.com/profile_images/1491491722844532739/wEhsIpcK_normal.jpg,BRaime619,"{'followers_count': 1153, 'following_count': 2414, 'tweet_count': 30857, 'listed_count': 1}",#BLM #BlackLivesMatter #M4A,"{'description': {'hashtags': [{'start': 0, 'end': 4, 'tag': 'BLM'}, {'start': 5, 'end': 22, 'tag': 'BlackLivesMatter'}, {'start': 23, 'end': 27, 'tag': 'M4A'}]}}",False,619
5116011,Rachel,https://t.co/asFlYf3jVM,False,,https://pbs.twimg.com/profile_images/1315646682336571392/wyL3HiZ6_normal.jpg,hellochelly,"{'followers_count': 3831, 'following_count': 118, 'tweet_count': 25776, 'listed_count': 88}",Product/UX designer + blogger •  Passionate about 📚✈️ 🎧📸🍦•  ISFJ • Francophile • IG: hello_chelly,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/asFlYf3jVM', 'expanded_url': 'http://www.hello-chelly.com/', 'display_url': 'hello-chelly.com'}]}}",False,"New York, NY"
3299968318,Ginger Snapp,,False,,https://pbs.twimg.com/profile_images/1519422439314362372/721CBcpR_normal.jpg,MorrowMorrow13,"{'followers_count': 12, 'following_count': 54, 'tweet_count': 3158, 'listed_count': 0}","Retired teacher for Severe Behavioral Handicapped/Emotionally Disturbed students K -12.  
treat others as you want to be treated",,False,
3422256593,Michelle Behnke,,False,,https://pbs.twimg.com/profile_images/828807951322345472/robQOrmt_normal.jpg,MeeshieWI,"{'followers_count': 114, 'following_count': 74, 'tweet_count': 347, 'listed_count': 4}",,,False,"Madison, WI"
1491887589304926208,MattRuilova (él/he),,False,,https://pbs.twimg.com/profile_images/1491887825347821573/Nob5byGG_normal.jpg,MattRuilova,"{'followers_count': 43, 'following_count': 147, 'tweet_count': 591, 'listed_count': 0}","Traductor Técnico-Científico EN-ES.
Autor de Sinfonía de huesos.
Lector manija.
Aprendiz de violinista.
Avatar terrestre de Nyarlathothep.",,False,
963774091089141760,Laura,https://t.co/02QTEVPkks,False,,https://pbs.twimg.com/profile_images/1468579769470136327/4VRHSAKg_normal.jpg,LauraCreatesArt,"{'followers_count': 798, 'following_count': 974, 'tweet_count': 14044, 'listed_count': 0}","🌻🇺🇦🌎🌊😷💉💉💉Mom, Married, Light Bearer, Artist, Animal lover, 🌱LGBTQ+Ally🌈, Friend of Bill, No lists please #BidenHarris, #BLM","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/02QTEVPkks', 'expanded_url': 'http://Linktr.ee/LauraOlderman', 'display_url': 'Linktr.ee/LauraOlderman'}]}, 'description': {'hashtags': [{'start': 105, 'end': 117, 'tag': 'BidenHarris'}, {'start': 119, 'end': 123, 'tag': 'BLM'}]}}",False,USA
793352143,elviro inama,,False,1.502703731661488e+18,https://pbs.twimg.com/profile_images/378800000335814847/82ca663b0e1d12d014a1fa5fe14f9ba2_normal.jpeg,elviro_inama,"{'followers_count': 38, 'following_count': 129, 'tweet_count': 3257, 'listed_count': 1}","curioso, non sapendo granché mi basta🌌🇪🇺🇮🇹",,False,Verona IT  -  E 11°  N 45°
3785715083,Robin L🌻🌻🇺🇦🇺🇦❤️❤️🇺🇸🇺🇸🌻🌻,,False,1.1178915536435937e+18,https://pbs.twimg.com/profile_images/990601957856501760/kxpBiB9a_normal.jpg,RobinLuvsDisney,"{'followers_count': 2407, 'following_count': 4972, 'tweet_count': 117218, 'listed_count': 2}","Skills: I can recite verbatim all words of JFKs Inaugural, Hamilton, & Pixar films...so I have that going 4me, which is nice. Diehard Skins fan, so a masochist",,False,
1362210852301017088,Occam’s Rusty Spoon,,False,,https://pbs.twimg.com/profile_images/1437877582289006592/falKX6A4_normal.jpg,OccamRustySpoon,"{'followers_count': 213, 'following_count': 1167, 'tweet_count': 5911, 'listed_count': 1}",I write code and stuff,,False,"Utah, USA"
21981338,"Sid Angadi, PhD, FACSM",https://t.co/QzpMN7IAqC,False,,https://pbs.twimg.com/profile_images/1461518315935916034/YQqVDUjZ_normal.jpg,Sid_Angadi,"{'followers_count': 106, 'following_count': 371, 'tweet_count': 1045, 'listed_count': 0}",Physiologist. Opinions mine. @UVA,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/QzpMN7IAqC', 'expanded_url': 'https://bit.ly/3EJtWHV', 'display_url': 'bit.ly/3EJtWHV'}]}, 'description': {'mentions': [{'start': 29, 'end': 33, 'username': 'UVA'}]}}",False,"Virginia, USA"
1315544168,poor little meow meow enthusiast,https://t.co/QxjiYHI3AZ,False,1.5154500323753533e+18,https://pbs.twimg.com/profile_images/1458253303947661317/16F-rwVq_normal.png,giantsapoIogist,"{'followers_count': 32, 'following_count': 109, 'tweet_count': 4432, 'listed_count': 0}",the artist formerly known as wallaceboden,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/QxjiYHI3AZ', 'expanded_url': 'http://instagram.com/wallasquared', 'display_url': 'instagram.com/wallasquared'}]}}",False,
1223247958587662336,Mike Friedman,,False,,https://pbs.twimg.com/profile_images/1223248154142945280/shdgSr4U_normal.jpg,MikeFriedman421,"{'followers_count': 5, 'following_count': 84, 'tweet_count': 163, 'listed_count': 0}",Professional Beer Consumption Specialist. Search Marketing Consultant. Business Owner.,,False,
1039613847055872000,ana,,False,1.5022844696670781e+18,https://pbs.twimg.com/profile_images/1521192655258103809/g2cHT6yO_normal.jpg,annaapuente,"{'followers_count': 313, 'following_count': 325, 'tweet_count': 4403, 'listed_count': 0}",spotify = 🏡,,False,
22361966,Philip Roberts,,False,,https://pbs.twimg.com/profile_images/1274003870960832513/Pa0Er5A2_normal.jpg,_PhilipRoberts,"{'followers_count': 561, 'following_count': 2761, 'tweet_count': 5829, 'listed_count': 26}",International educator supporting young people to inquire about the world since 1992.,,False,"Toronto, Ontario"
1370124077281779712,RosconAzucarado,,False,,https://pbs.twimg.com/profile_images/1370124256642805761/PGlyCNpb_normal.jpg,Rosconsitolindo,"{'followers_count': 19, 'following_count': 204, 'tweet_count': 559, 'listed_count': 0}",Fan número 1 indiscutible de Elon Musk,,False,
337357324,knottybarnet,,False,,https://pbs.twimg.com/profile_images/1467928047730970634/mCs2FCAs_normal.jpg,knottybarnet,"{'followers_count': 187, 'following_count': 442, 'tweet_count': 9169, 'listed_count': 2}","Middle-aged, female and stout. Major dog botherer.",,False,"London, England"
