id,protected,verified,description,name,pinned_tweet_id,url,username,profile_image_url,public_metrics,entities,location
15571699,False,False,"Retired swimmer. Plant geek. Fan of music, racing, swimming, college football (UConn and Texas A&M) & MMA",Lisa Marie,,,S10Chick,https://pbs.twimg.com/profile_images/805209000992239616/i-_0wuOM_normal.jpg,"{'followers_count': 893, 'following_count': 1660, 'tweet_count': 20277, 'listed_count': 15}",,
172340055,False,False,Is Qui Est Est Is Qui Non Est Consectatur is written on my bike. I think it means try harder. Fast bike. Slow rider.,Chris,,,d0gmah,https://pbs.twimg.com/profile_images/1437486201137664009/GUXmK1vG_normal.jpg,"{'followers_count': 478, 'following_count': 493, 'tweet_count': 71704, 'listed_count': 30}",,DC
94096448,False,False,トレーダー＆音ゲーマー  IIDX/ﾁｭｳﾆｽﾞﾑ/投信/ロボアド/株式/fx/Wordle/旅行/鉄道乗りつぶし/ｱﾆﾒ,Ta98,,,Ta98_k,https://pbs.twimg.com/profile_images/2137546314/icon3.0_normal.png,"{'followers_count': 283, 'following_count': 213, 'tweet_count': 123447, 'listed_count': 46}",,Tama EVOLVED
1269957623593476096,False,False,➤ Only for Reborn and Fénix,Scor¹⁹ 🦂,1.5006029797199913e+18,https://t.co/3rryDJIbMz,scorbeauty,https://pbs.twimg.com/profile_images/1521604563773673472/j9FwphPz_normal.jpg,"{'followers_count': 1238, 'following_count': 1323, 'tweet_count': 38555, 'listed_count': 15}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/3rryDJIbMz', 'expanded_url': 'https://Reb.xn--bgi/', 'display_url': 'Reb.➛'}]}}",S!Her
32312798,False,False,twambivalent,Aaron Saraco,,https://t.co/7yPbM7XQCu,sirlemming,https://pbs.twimg.com/profile_images/1177547793289928704/BPfRsT2V_normal.jpg,"{'followers_count': 49, 'following_count': 100, 'tweet_count': 2139, 'listed_count': 0}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/7yPbM7XQCu', 'expanded_url': 'http://happyhipster.wordpress.com', 'display_url': 'happyhipster.wordpress.com'}]}}","Wendell, NC"
836927714086936576,False,False,"神さまの怨結び(完結済)オススメです　　　　　
　　　　　　　　　　
FF外通知off",しな♪,1.4992719686041805e+18,https://t.co/jCUAyyIPpx,Enc_shina,https://pbs.twimg.com/profile_images/1432389509434392578/QUjz-El-_normal.jpg,"{'followers_count': 175, 'following_count': 682, 'tweet_count': 67424, 'listed_count': 4}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/jCUAyyIPpx', 'expanded_url': 'http://shindanmaker.com/630788', 'display_url': 'shindanmaker.com/630788'}]}}",
239675755,False,False,,Jono 🦁,,,JB2k_,https://pbs.twimg.com/profile_images/1502276964605964295/SyFxFX2V_normal.jpg,"{'followers_count': 218, 'following_count': 108, 'tweet_count': 16472, 'listed_count': 3}",,Nix
80888612,False,False,"Architect, Christian, Sports lover, music fan, movie maniac, DC, golden states. HALA MADRID",𝕬𝖈𝖈𝖗𝖆 𝕮𝖔𝖒𝖒𝖆𝖓𝖉𝖔,8.217351855784223e+17,,Piyose,https://pbs.twimg.com/profile_images/1496137403928621064/10T1wRVr_normal.jpg,"{'followers_count': 2295, 'following_count': 1811, 'tweet_count': 237828, 'listed_count': 36}",,
1225731733569626112,False,False,24 years old.. Massive horse racing fan - both NH and flat!,Rebecca,,,rebecca_m__w,https://pbs.twimg.com/profile_images/1487472167088529415/n9EL_lZb_normal.jpg,"{'followers_count': 419, 'following_count': 174, 'tweet_count': 4528, 'listed_count': 1}",,"Newmarket, England"
997116690822397952,False,False,"観劇好き

Profile photo by 7 SeTh on Unsplash.",1234567890,,,0987654321xojan,https://pbs.twimg.com/profile_images/1105290765385719808/8SPUUmy3_normal.png,"{'followers_count': 10, 'following_count': 135, 'tweet_count': 282, 'listed_count': 1}",,
