id,description,url,verified,profile_image_url,location,username,name,protected,public_metrics,entities,pinned_tweet_id
1144495418971049984,"XI + I = X
                                                           incoherent reflections || coherent visions.",,False,https://pbs.twimg.com/profile_images/1470201081992908800/htiI4_A6_normal.jpg,,irithika_,\\evitcepsrep\\ thomo - kool pillerdachan simp acc,False,"{'followers_count': 980, 'following_count': 600, 'tweet_count': 3893, 'listed_count': 0}",,1.4370850178767954e+18
928093633361993728,I meant what I said.,,False,https://pbs.twimg.com/profile_images/1377085053939953667/E2GdpQqx_normal.jpg,Harlem USA,more_moxie,ANA,False,"{'followers_count': 307, 'following_count': 1475, 'tweet_count': 32659, 'listed_count': 4}",,1.416319139782615e+18
38440754,Nunca dejes que tus miedos decidan tu futuro,,False,https://pbs.twimg.com/profile_images/1498416095899779074/4a_v_Ajk_normal.jpg,Chile,Pabloriosecode,Pablo rioseco,False,"{'followers_count': 103, 'following_count': 203, 'tweet_count': 9965, 'listed_count': 0}",,1.2229875409170964e+18
902503063,"Cambridge United.💛🖤

21/92.🏟",,False,https://pbs.twimg.com/profile_images/1469941299977625602/BeZD-DZY_normal.jpg,Cambridge ,PHcufc,Paul.,False,"{'followers_count': 1003, 'following_count': 877, 'tweet_count': 14628, 'listed_count': 5}",,1.4802161449130435e+18
132337338,"A veces escribo, a veces doy RT y a veces sólo los leo. Viviendo la vida, enfrentando algunas cosas y huyendo d otras. En Vzla 🇻🇪",,False,https://pbs.twimg.com/profile_images/1248362810578472961/7WqyKEof_normal.jpg,En la ciudad de la Cordialidad,beacg13,bea,False,"{'followers_count': 1228, 'following_count': 2590, 'tweet_count': 13023, 'listed_count': 6}",,
258669647,,,False,https://pbs.twimg.com/profile_images/1381339752192958467/crmERb5X_normal.jpg,North Bay,EpicScott,Scott “Lawful Evil” Levasseur,False,"{'followers_count': 48, 'following_count': 253, 'tweet_count': 2057, 'listed_count': 5}",,
208796417,"Nerd. Atheist. a vampire with a soul, green with evil with adamantium bones. A cosmic joke awaiting the punchline.",,False,https://pbs.twimg.com/profile_images/1465562479073841157/kdjNrVWO_normal.jpg,"Krakoa, PA",WeaponXKP21,Stranded Time Traveler,False,"{'followers_count': 2759, 'following_count': 4922, 'tweet_count': 387135, 'listed_count': 81}",,
14192427,He/Him/His. There's too much fucking perspective now. ~ David St. Hubbins,,False,https://pbs.twimg.com/profile_images/1427512383165976580/w3wZneMs_normal.jpg,23 Skidoo,gogunners,j-herbo's victory brisket 🦆 ⚡,False,"{'followers_count': 440, 'following_count': 706, 'tweet_count': 2178, 'listed_count': 5}",,1.4784471314300314e+18
775423075772932096,21,,False,https://pbs.twimg.com/profile_images/1519808841751404544/UQc4xyqS_normal.jpg,"Michigan, USA",xJCross_,Justin,False,"{'followers_count': 87, 'following_count': 127, 'tweet_count': 7386, 'listed_count': 0}",,1.2621590355177636e+18
75239283,"Work is WARShip
लोकः समस्ताः सुखिनो भवन्तु",,False,https://pbs.twimg.com/profile_images/602740788783554562/lf85SrY0_normal.jpg,Planet Earth,sairambalasubra,Sairam Balasubramanian,False,"{'followers_count': 277, 'following_count': 931, 'tweet_count': 21502, 'listed_count': 0}",,9.72725597758804e+17
36433221,"Director of Marketing & Communications @Equibase 🐎 Mom to Drew, Ben and Anna ❣️ #longsuffering Miami Dolphins fan 🐬",https://t.co/aVAMBzFqsE,False,https://pbs.twimg.com/profile_images/823017291633872897/0kXN1xOq_normal.jpg,"Lexington, KY",Sparano1,Rhonda Norby,False,"{'followers_count': 328, 'following_count': 218, 'tweet_count': 1299, 'listed_count': 4}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/aVAMBzFqsE', 'expanded_url': 'http://equibase.com', 'display_url': 'equibase.com'}]}, 'description': {'hashtags': [{'start': 80, 'end': 94, 'tag': 'longsuffering'}], 'mentions': [{'start': 39, 'end': 48, 'username': 'Equibase'}]}}",
3908573653,"(she/her)
Author. Fan of stuff. Cat lover. Hopeful plant mom.
Not necessarily in this order.",https://t.co/DDne6clqdo,False,https://pbs.twimg.com/profile_images/1504306701620588545/PmrR1ldR_normal.jpg,,aklee_writes,AK Lee 🌻,False,"{'followers_count': 1157, 'following_count': 233, 'tweet_count': 199657, 'listed_count': 53}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DDne6clqdo', 'expanded_url': 'http://www.akleewrites.com', 'display_url': 'akleewrites.com'}]}}",1.5036724808753193e+18
1194968696336375808,I just be tweeting. Don’t read too much into it 😂😂,,False,https://pbs.twimg.com/profile_images/1490236959205335040/5ocVYIQq_normal.jpg,,PhenomenallyME3,This is a Tabria Majors Stan Account,False,"{'followers_count': 44, 'following_count': 126, 'tweet_count': 11599, 'listed_count': 0}",,1.5019612133072364e+18
1501201250729304064,all my wordles cause i have attachment issues,,False,https://pbs.twimg.com/profile_images/1501201774316863495/T_454YXi_normal.jpg,,aryaswordle,arya,False,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 102, 'listed_count': 0}",,
1271021288266649600,Undefeated Wordle Champ Jan 12- May 2 2022,,False,https://pbs.twimg.com/profile_images/1484324900663803907/AA1BtZm1_normal.jpg,"Washington, DC",JMill354,James with the Giant Peach,False,"{'followers_count': 42, 'following_count': 203, 'tweet_count': 492, 'listed_count': 0}",,
3193632284,"sabi nila life is short, buti naman!",https://t.co/53ylUlCgPS,False,https://pbs.twimg.com/profile_images/1521849829369995265/Q9Y8Bgtt_normal.jpg,Canada,bblueelove,amiel,False,"{'followers_count': 2896, 'following_count': 259, 'tweet_count': 26275, 'listed_count': 19}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/53ylUlCgPS', 'expanded_url': 'https://www.altnps.org/thank-you', 'display_url': 'altnps.org/thank-you'}]}}",1.48736968431181e+18
255862921,TELL THEM I'M NOT AT ALL WELL,,False,https://pbs.twimg.com/profile_images/1518421451266789382/NMdrK7oW_normal.jpg,"Monterrey, Nuevo León",dbnhmv,deb,False,"{'followers_count': 149, 'following_count': 474, 'tweet_count': 11622, 'listed_count': 2}",,1.5070793058971607e+18
153881518,The best revenge is living well. Exhibitionist who hates to be seen.,,False,https://pbs.twimg.com/profile_images/1501636459224260612/Ho1FQ1Be_normal.jpg,"On the outside, looking in",BuzzterMcNaggin,Bas Van Gameren,False,"{'followers_count': 60, 'following_count': 478, 'tweet_count': 4717, 'listed_count': 7}",,
