id,source,entities,reply_settings,created_at,lang,possibly_sensitive,public_metrics,text,conversation_id,author_id,context_annotations,in_reply_to_user_id,referenced_tweets,geo,attachments
1522249494070501383,Twitter for iPhone,,everyone,2022-05-05T16:18:56.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 320 5/6

⬜⬜⬜⬜🟨
⬜🟨⬜🟩⬜
⬜🟩⬜🟩🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩",1522249494070501383,1253773756666970114,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1522249479948161024,Twitter for iPhone,,everyone,2022-05-05T16:18:52.000Z,en,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Wordle 320 3/6*

⬛🟩🟨🟨⬛
🟨🟩⬛⬛🟩
🟩🟩🟩🟩🟩",1487088708348092416,31284844,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",31284844,"[{'type': 'replied_to', 'id': '1521752121615417344'}]",,
1522249477918105601,Twitter for iPhone,,everyone,2022-05-05T16:18:52.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 321 4/6

⬜⬜🟨🟨⬜
🟨⬜🟨⬜🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩",1522249477918105601,269504219,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1522249463674568704,Tweetbot for iΟS,"{'urls': [{'start': 33, 'end': 56, 'url': 'https://t.co/wbo7Cxi6RC', 'expanded_url': 'http://cheeaun.github.io/chengyu-wordle/#LLSbv', 'display_url': 'cheeaun.github.io/chengyu-wordle…'}]}",everyone,2022-05-05T16:18:48.000Z,ja,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","成语Wordle [LLSbv] 2/6

⬜🟩⬜⬜
🟩🟩🟩🟩

https://t.co/wbo7Cxi6RC",1522249463674568704,717917070,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1522249458800545792,Twitter for iPhone,,everyone,2022-05-05T16:18:47.000Z,en,False,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 2, 'quote_count': 0}","Wordle 320 X/6

⬛⬛⬛🟨🟨
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩

wow.. i totally blew it today 🖕😒",1522249458800545792,1147266098238300161,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1522249454727798791,Twitter for Android,,everyone,2022-05-05T16:18:46.000Z,ja,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","運氣
Wordle 321 5/6

⬜⬜🟨⬜🟩
🟨🟩⬜⬜🟩
⬜⬜🟨⬜🟩
⬜⬜⬜🟨🟩
🟩🟩🟩🟩🟩",1522249454727798791,3235978542,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1522249448881270784,Twitter for iPhone,"{'urls': [{'start': 26, 'end': 49, 'url': 'https://t.co/Dv4YP0vAjQ', 'expanded_url': 'https://wordle-jp.netlify.app/', 'display_url': 'wordle-jp.netlify.app'}]}",everyone,2022-05-05T16:18:45.000Z,ja,True,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","日本語のWordle（ローマ字）
#113
5/6
https://t.co/Dv4YP0vAjQ
⬛ ⬛ ⬛ ⬛ 🟥
⬛ 🟥 🟥 ⬛ 🟥
🟥 🟥 🟩 ⬛ 🟥
🟩 🟩 🟩 ⬛ 🟩
🟩 🟩 🟩 🟩 🟩

ムズいな",1522249448881270784,1449342253206364161,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1522249442652717056,Twitter Web App,,everyone,2022-05-05T16:18:43.000Z,en,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Wordle 321 4/6

⬛🟨⬛⬛⬛
🟨⬛⬛⬛🟩
🟩🟩⬛⬛🟩
🟩🟩🟩🟩🟩",1480574865488822275,900303314419462144,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",900303314419462144,"[{'type': 'replied_to', 'id': '1521890166801309696'}]",,
1522249435186876418,Twitter for Android,,everyone,2022-05-05T16:18:42.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 321 6/6

⬜⬜⬜⬜🟩
🟨⬜🟨⬜🟩
🟨🟨⬜⬜🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",1522249435186876418,2911404205,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1522249433726873602,Twitter for iPhone,,everyone,2022-05-05T16:18:41.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 320 X/6
okay. 

⬛🟩🟨⬛⬛
🟨🟩⬛⬛⬛
🟩🟩⬛🟨⬛
🟩🟩⬛🟩⬛
🟩🟩⬛🟩🟩
🟩🟩⬛🟩🟩",1522249433726873602,1280349706858532868,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
