id,protected,verified,description,name,url,username,profile_image_url,public_metrics,pinned_tweet_id,location,entities
308131686,False,False,"Pompom OTRB 🌈8-17-2018😿😿💔💔. Mum is tweeting now. Cotton and Colin just arrived, better known as C2. Octopussy crew 🐙🐙",Angel Pompom & C2,,patmirabelli,https://pbs.twimg.com/profile_images/1480819386357145601/G2Hohnmh_normal.jpg,"{'followers_count': 1888, 'following_count': 971, 'tweet_count': 29310, 'listed_count': 22}",1.0416769839718523e+18,,
270708359,False,False,"Entrepreneur, small biz advocate, coder, marketer, former Series 3 broker, armchair economist, USN vet, Sober: 12/28/17 #entrepreneur #digitalmarketing #10X",Michael Neely,https://t.co/GZxqo1pRe1,michael_neely,https://pbs.twimg.com/profile_images/1464799872645832709/d1cvPSov_normal.jpg,"{'followers_count': 4230, 'following_count': 4115, 'tweet_count': 42706, 'listed_count': 0}",,USA,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/GZxqo1pRe1', 'expanded_url': 'https://linktr.ee/michaelneely', 'display_url': 'linktr.ee/michaelneely'}]}, 'description': {'hashtags': [{'start': 120, 'end': 133, 'tag': 'entrepreneur'}, {'start': 134, 'end': 151, 'tag': 'digitalmarketing'}, {'start': 152, 'end': 156, 'tag': '10X'}]}}"
287786339,False,False,"Unashamedly amateur writer, blogger, cartoonist, guitarist & paraglider. Recorder of lockdown history in 'The Covid Chronicle' - to read click website link",John Finagin 💙 #FBPE,https://t.co/uTfMjkm7Hz,JohnFinagin,https://pbs.twimg.com/profile_images/830139400122224640/JFe2Lm70_normal.jpg,"{'followers_count': 5329, 'following_count': 5817, 'tweet_count': 50813, 'listed_count': 0}",,London,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/uTfMjkm7Hz', 'expanded_url': 'http://johnfinagin.com', 'display_url': 'johnfinagin.com'}]}}"
2453455242,False,False,it’s just common sense! 🇨🇦 🇺🇸,rprp64,,rprp64,https://pbs.twimg.com/profile_images/1518717464741392384/Yd0Gl2zh_normal.jpg,"{'followers_count': 72, 'following_count': 492, 'tweet_count': 8317, 'listed_count': 4}",,,
59459960,False,False,Dutch| Willem II | Mets | WWE | F1 |,Robbie,,Robbie1896,https://pbs.twimg.com/profile_images/1435592978995818496/7z6PNUkz_normal.jpg,"{'followers_count': 658, 'following_count': 1426, 'tweet_count': 168074, 'listed_count': 32}",1.3331916509281772e+18,Tilburg,
23470535,False,False,You have made enemies ? Good! That means you have stuck up for something you believe in your life,Mags M,,mags_m,https://pbs.twimg.com/profile_images/1499372371530194949/BFzQijaM_normal.jpg,"{'followers_count': 1402, 'following_count': 4990, 'tweet_count': 18132, 'listed_count': 11}",6.252685257085051e+17,Liverpool United Kingdom,
1165335996898172928,False,False,,toruyan,,toruyan1,https://pbs.twimg.com/profile_images/1429173346223144972/PzdziIJq_normal.jpg,"{'followers_count': 21, 'following_count': 379, 'tweet_count': 695, 'listed_count': 0}",,,
60413758,False,False,"Empresario, Bético y Socialista. Un tipo que va de frente. Lo bueno llega, para quien sabe esperar.",VÍCTOR JPC 🇪🇸,,VICTORJPC,https://pbs.twimg.com/profile_images/1354164755204878339/ZhRybq3p_normal.jpg,"{'followers_count': 8963, 'following_count': 7559, 'tweet_count': 111853, 'listed_count': 63}",1.4602291066462781e+18,Ciudad del Betis,
1272148701679673344,False,False,sidemen-yes,Alex. where is gb80 😔,https://t.co/I97cWjHoLK,aIex00666,https://pbs.twimg.com/profile_images/1506520870902243329/3h3myg3C_normal.jpg,"{'followers_count': 283, 'following_count': 714, 'tweet_count': 3669, 'listed_count': 0}",1.439158342270718e+18,i'm cool,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/I97cWjHoLK', 'expanded_url': 'http://teamseas.org', 'display_url': 'teamseas.org'}]}}"
2742072227,False,False,believe in God and all the atributes of God,Amtulshafee,,amtulshafee,https://pbs.twimg.com/profile_images/561977212564692992/aJlGFJRp_normal.jpeg,"{'followers_count': 122, 'following_count': 252, 'tweet_count': 700, 'listed_count': 1}",,,
102676260,False,False,"Diş Teknisyeni (Ortodonti)

Medipol üniversitesi 🎓

Galatasaray 

Falan filan...",Kzmyldrm1,https://t.co/aNMn32Ha1N,kzmyldrm90,https://pbs.twimg.com/profile_images/1241019773124837377/OiqGhxz9_normal.jpg,"{'followers_count': 340, 'following_count': 375, 'tweet_count': 3332, 'listed_count': 1}",4.859204662685901e+17,"İstanbul, Türkiye","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/aNMn32Ha1N', 'expanded_url': 'https://instagram.com/kzmyldrm1/', 'display_url': 'instagram.com/kzmyldrm1/'}]}}"
1347561680730017792,False,False,"IB MYP Science Teacher @sekalboran, International Regional Coordinator of the @uniofyork in Spain. #MIEE & #scientixambassador. #Womanengineer and fashion lover",Mar Aleman,https://t.co/Q32MEpMc9F,MarAlemn5,https://pbs.twimg.com/profile_images/1494400072200638468/mTfjoqxv_normal.jpg,"{'followers_count': 34, 'following_count': 136, 'tweet_count': 96, 'listed_count': 1}",,"Almería, España","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Q32MEpMc9F', 'expanded_url': 'https://www.linkedin.com/in/mar-alemán-prados-190183', 'display_url': 'linkedin.com/in/mar-alemán-…'}]}, 'description': {'hashtags': [{'start': 99, 'end': 104, 'tag': 'MIEE'}, {'start': 107, 'end': 126, 'tag': 'scientixambassador'}, {'start': 128, 'end': 142, 'tag': 'Womanengineer'}], 'mentions': [{'start': 23, 'end': 34, 'username': 'sekalboran'}, {'start': 78, 'end': 88, 'username': 'uniofyork'}]}}"
1285209340245417984,False,False,"teaching myself how to draw, I don't draw eyes 👍 | roblox | ♀ | pfp: me 🤓

#ayameart #ayamewip",aya,https://t.co/xyZO5v1LWn,ayameart,https://pbs.twimg.com/profile_images/1507485016267317248/yyp93o0H_normal.jpg,"{'followers_count': 88, 'following_count': 331, 'tweet_count': 1169, 'listed_count': 0}",1.519363724695556e+18,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/xyZO5v1LWn', 'expanded_url': 'https://www.roblox.com/users/32387687/profile', 'display_url': 'roblox.com/users/32387687…'}]}, 'description': {'hashtags': [{'start': 75, 'end': 84, 'tag': 'ayameart'}, {'start': 85, 'end': 94, 'tag': 'ayamewip'}]}}"
17887627,False,False,Dreamforce Speaker ☁️ User Group Co-Leader ☁️ 20X Salesforce Certified ☁️ 4X Trailhead Ranger ☁️Tweets are my own. Trailblazing at Privia Health,Michael Drzewiecki,https://t.co/7Fxb1FTKnm,drzewiecki,https://pbs.twimg.com/profile_images/960275318018838536/A_3lcID6_normal.jpg,"{'followers_count': 1869, 'following_count': 741, 'tweet_count': 2176, 'listed_count': 25}",,"Connecticut, USA","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/7Fxb1FTKnm', 'expanded_url': 'http://certification.salesforce.com/certification-detail-print?conId=003G000002UZszjIAD', 'display_url': 'certification.salesforce.com/certification-…'}]}}"
447378041,False,False,.الحمد لله على نعمة الإسلام,A_ Althani Qatar,,JAlthani70,https://pbs.twimg.com/profile_images/1132513023564947456/JTdx-xgQ_normal.jpg,"{'followers_count': 10, 'following_count': 260, 'tweet_count': 5806, 'listed_count': 1}",,,
1405220258110226432,False,False,your mind is a stream of colors extending beyond our sky ☬ @monaquila / L3 psycho,едель ⛓️,,edeldhal_,https://pbs.twimg.com/profile_images/1511970187305799680/Dt7fiPhE_normal.jpg,"{'followers_count': 94, 'following_count': 98, 'tweet_count': 4353, 'listed_count': 0}",1.4816129407761981e+18,she/they,"{'description': {'mentions': [{'start': 59, 'end': 69, 'username': 'monaquila'}]}}"
