,name,url,protected,profile_image_url,id,username,public_metrics,description,verified,location,entities,pinned_tweet_id
114753510,とーや,,False,https://pbs.twimg.com/profile_images/1653858299/s-scan-001_normal.jpg,,Toya_Toproad,"{'followers_count': 613, 'following_count': 680, 'tweet_count': 98308, 'listed_count': 43}",栃木県出身。東京都在住。プログラム書いてます。声優の堀江由衣さん、声優ユニットのAice5、野球の中日ドラゴンズ、サッカーの栃木SC、TCGのバトルスピリッツが好きな人です。  デレステやってます（小日向P）：507369894,False,劇団堀江公演会場、神宮レフスタ、グリスタゴール裏のどこか,,
1390418322739458048,andrea,,False,https://pbs.twimg.com/profile_images/1407958139748732932/J0Pn3VDf_normal.jpg,,legacies373,"{'followers_count': 6, 'following_count': 195, 'tweet_count': 225, 'listed_count': 1}",legacies fan,False,,,
1121894219130368001,Ricky Key,https://t.co/0ak3hJHB7b,False,https://pbs.twimg.com/profile_images/1519373236923891712/l0tEJu2z_normal.jpg,,rickydkey,"{'followers_count': 0, 'following_count': 35, 'tweet_count': 1552, 'listed_count': 0}",Pizza lover. Comedian. Grateful yet regretful.,False,"Los Altos, CA","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/0ak3hJHB7b', 'expanded_url': 'http://www.rickydkey.com/', 'display_url': 'rickydkey.com'}]}}",1521701240924622848
3314433895,あどみまるん,,False,https://pbs.twimg.com/profile_images/1485467162475380743/5wWWtmyd_normal.jpg,,Adlin_ek,"{'followers_count': 458, 'following_count': 469, 'tweet_count': 31103, 'listed_count': 4}","21生/機械工/技研/AVR/mbed 電子工作初心者 電気系保全2級
病気のため入院中",False,日本,,1371298121527877633
4074138979,⭐️彡 びんご ミ⭐️,https://t.co/NbzELdwtzN,False,https://pbs.twimg.com/profile_images/1517006916157046785/D2nwh5JL_normal.jpg,,no_c_no,"{'followers_count': 36, 'following_count': 250, 'tweet_count': 190917, 'listed_count': 0}",こうせいのう automatic picture sharing system プラスチックもやります,False,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/NbzELdwtzN', 'expanded_url': 'https://obingomemo.hatenablog.com/', 'display_url': 'obingomemo.hatenablog.com'}]}}",
1262405917078810626,Leo@DBDacct.,,False,https://pbs.twimg.com/profile_images/1278672996736004096/KNkM8yrX_normal.jpg,,For_only_DBD,"{'followers_count': 37, 'following_count': 32, 'tweet_count': 119, 'listed_count': 0}","As for chase, probably I'm the best survivor out of all PS players. I tweet about DBD or something in English. My English skills are intermediate.",False,,,1273288152891809792
19576639,Ronald Young Jr.,https://t.co/L4YN7jyFzW,False,https://pbs.twimg.com/profile_images/1500837367778848768/3jcFlesg_normal.jpg,,OhitsBIGRON,"{'followers_count': 1397, 'following_count': 934, 'tweet_count': 2274, 'listed_count': 35}","Senior Producer/Owner @ohitsbigronstew
Host @pineapplemedia #HBOdocsclub
Storyteller @peacockTV True Story w/ Ed & Randall S1",False,"ÜT: 38.700233,-77.219006","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/L4YN7jyFzW', 'expanded_url': 'https://ohitsbigron.com', 'display_url': 'ohitsbigron.com'}]}, 'description': {'hashtags': [{'start': 60, 'end': 72, 'tag': 'HBOdocsclub'}], 'mentions': [{'start': 22, 'end': 38, 'username': 'ohitsbigronstew'}, {'start': 44, 'end': 59, 'username': 'pineapplemedia'}, {'start': 85, 'end': 95, 'username': 'peacockTV'}]}}",1504881634537000965
3291839167,Itoito,https://t.co/PsCmT6Ygwp,False,https://pbs.twimg.com/profile_images/1244594802374529026/CTFBWa6c_normal.jpg,,re_lavendeuuu,"{'followers_count': 107, 'following_count': 103, 'tweet_count': 51738, 'listed_count': 0}",ムーミンのご先祖さまがかわいい。 ヘッダーの絵は森澤たきさん（@Morisawa_Taki）です。ぷらいべったー→ https://t.co/PsCmT6Ygwp 裏垢→@itoito_ice,False,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/PsCmT6Ygwp', 'expanded_url': 'http://privatter.net/u/re_lavendeuuu', 'display_url': 'privatter.net/u/re_lavendeuuu'}]}, 'description': {'urls': [{'start': 58, 'end': 81, 'url': 'https://t.co/PsCmT6Ygwp', 'expanded_url': 'http://privatter.net/u/re_lavendeuuu', 'display_url': 'privatter.net/u/re_lavendeuuu'}], 'mentions': [{'start': 31, 'end': 45, 'username': 'Morisawa_Taki'}, {'start': 85, 'end': 96, 'username': 'itoito_ice'}]}}",1454082363638444035
17966111,Mish(a),https://t.co/J7toYgKmRS,False,https://pbs.twimg.com/profile_images/1521635114471591936/G8t6VD84_normal.jpg,,ILikeitPalat,"{'followers_count': 879, 'following_count': 305, 'tweet_count': 119255, 'listed_count': 34}",#GoBolts #GoBucs,False,FL,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/J7toYgKmRS', 'expanded_url': 'http://flickr.com/photos/mishey22', 'display_url': 'flickr.com/photos/mishey22'}]}, 'description': {'hashtags': [{'start': 0, 'end': 8, 'tag': 'GoBolts'}, {'start': 9, 'end': 16, 'tag': 'GoBucs'}]}}",964691637640286209
222002380,헤이찐,,False,https://pbs.twimg.com/profile_images/1519946583613534208/2y3Alqeu_normal.png,,heyZzin_,"{'followers_count': 402, 'following_count': 980, 'tweet_count': 252384, 'listed_count': 8}",죽지마 / 편협한 사람(비팔알림 껐다는 뜻),False,🧠 in a 🛢 ,,1474278097482825729
