id,name,public_metrics,url,description,profile_image_url,location,protected,username,verified,entities,pinned_tweet_id
1.3481932874553057e+18,WKaraka 🔞,"{'followers_count': 913, 'following_count': 994, 'tweet_count': 3678, 'listed_count': 0}",,"Castellano morboso de 46 años 😈😈
Fan de los gayumbos abultados y de lo que los llenan 😊 (+18)",https://pbs.twimg.com/profile_images/1429771957902381057/0KR3dGy8_normal.jpg,"Salamanca, Spain",False,karaka_w,False,,1.5001322378235986e+18
7.811572798276854e+17,DJ SpaceTerrapin☮️,"{'followers_count': 1076, 'following_count': 790, 'tweet_count': 37365, 'listed_count': 4}",,"The Voice of the Zoological Garden. Archivist of Enclosure Three. -
Look for ""It Came From Enclosure Three"" @madwaspradio, and on @mixcloud.",https://pbs.twimg.com/profile_images/1424494575922647040/ZCL1nGbP_normal.jpg,Gehege Drei,False,GehegeDrei,False,"{'description': {'mentions': [{'start': 108, 'end': 121, 'username': 'madwaspradio'}, {'start': 130, 'end': 139, 'username': 'mixcloud'}]}}",
1.0316602090416947e+18,vishous,"{'followers_count': 84, 'following_count': 110, 'tweet_count': 704, 'listed_count': 0}",https://t.co/azXJMV9FMf,"just a gamer, gamin'. twitch affiliate. 

❤️, ✌🏽 & 🎮",https://pbs.twimg.com/profile_images/1506749738716065795/LiIBBji8_normal.jpg,,False,itzvishous,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/azXJMV9FMf', 'expanded_url': 'http://twitch.tv/itzvishous', 'display_url': 'twitch.tv/itzvishous'}]}}",
71536509.0,Jane M.,"{'followers_count': 168, 'following_count': 449, 'tweet_count': 14337, 'listed_count': 4}",,Vaxxed & now double boosted.,https://pbs.twimg.com/profile_images/1251872076014718983/uy-DAZb3_normal.jpg,The Sooner State,False,thewritin1,False,,
368268729.0,sonik❣,"{'followers_count': 26, 'following_count': 129, 'tweet_count': 119, 'listed_count': 0}",,,https://pbs.twimg.com/profile_images/1495338162398322689/oRXHSqs8_normal.jpg,MONTGAT,False,soniaescodamart,False,,
1057224392.0,JBW40,"{'followers_count': 319, 'following_count': 350, 'tweet_count': 30935, 'listed_count': 0}",,The very special Mistress @kazbxx will have to share my profile picture with the flag until such times as the conflict is over in Ukraine,https://pbs.twimg.com/profile_images/1497499219418128388/1_LFI5m8_normal.jpg,Green and leafy Berkshire,False,JCFW40,False,"{'description': {'mentions': [{'start': 26, 'end': 33, 'username': 'kazbxx'}]}}",
2712538787.0,Odwa Matomela,"{'followers_count': 32, 'following_count': 29, 'tweet_count': 1737, 'listed_count': 1}",,,https://pbs.twimg.com/profile_images/1489675952275734540/LGuZPK4L_normal.jpg,South Africa,False,odwa_ma,False,,8.898896138583409e+17
437470277.0,sla,"{'followers_count': 22, 'following_count': 391, 'tweet_count': 851, 'listed_count': 0}",,,https://pbs.twimg.com/profile_images/1103162067392102400/rAjSEBCS_normal.jpg,"Castelldefels, Espanya",False,slawash,False,,
9.344676163532145e+17,ari :):,"{'followers_count': 25, 'following_count': 236, 'tweet_count': 2569, 'listed_count': 0}",https://t.co/DGZ75A65P1,Amurallar el propio sufrimiento es arriesgarte a que te devore desde el interior. -FRIDA KHALO,https://pbs.twimg.com/profile_images/1498725294932467717/Rbz_TgdR_normal.jpg,"Comunidad Valenciana, España",False,ariadnahervas_,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DGZ75A65P1', 'expanded_url': 'https://instagram.com/ariadnahervas?igshid=13ee5xurxjxth', 'display_url': 'instagram.com/ariadnahervas?…'}]}}",1.406729379762299e+18
244185737.0,Phil MCFC,"{'followers_count': 1642, 'following_count': 1309, 'tweet_count': 17192, 'listed_count': 8}",,"Branch Secretary,  Irlam and Cadishead MCFC supporters club . All views are my own",https://pbs.twimg.com/profile_images/1480217232408027145/sZxCjNDA_normal.jpg,Manchester UK,False,philtheoldmod58,False,,
