id,verified,description,protected,url,public_metrics,entities,location,profile_image_url,pinned_tweet_id,name,username
1.1684624370262712e+18,False,,False,,"{'followers_count': 244, 'following_count': 664, 'tweet_count': 12510, 'listed_count': 2}",,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,KittenBee@Bumblecats,KittenBumble
7.44372158218965e+17,False,"fan account // shows, movies, books & kdramas",False,,"{'followers_count': 366, 'following_count': 178, 'tweet_count': 27569, 'listed_count': 4}",,Canada,https://pbs.twimg.com/profile_images/1480865014802268160/Nh1Tnxl3_normal.jpg,1.3528269722971791e+18,ivy ❤️‍🔥,beneatthewaves
313400337.0,False,• Hincha de Phil Foden • 💙Bostero mafioso e infectado💛• El arte de escribir ✍️•,False,,"{'followers_count': 387, 'following_count': 368, 'tweet_count': 8877, 'listed_count': 1}",,San Martín de los Andes,https://pbs.twimg.com/profile_images/1518768450134491136/ZM6-Shq1_normal.jpg,1.1331796376500101e+18,P•M,pedromendez12
1.3100366783717294e+18,False,plain and simple not complicated,False,,"{'followers_count': 146, 'following_count': 101, 'tweet_count': 8071, 'listed_count': 0}",,"Seremban, Negeri Sembilan",https://pbs.twimg.com/profile_images/1410473179189899264/DCCMc3ja_normal.jpg,,Sharan Pretam Singh (Mrs),PretamSharan
1.3719503303432724e+18,False,"My irrational thought process splurged online, just for you.",False,,"{'followers_count': 12, 'following_count': 74, 'tweet_count': 156, 'listed_count': 0}",,"Bristol, England",https://pbs.twimg.com/profile_images/1510210602798665729/oWW6BbVn_normal.jpg,1.5060945406833623e+18,Benny S.,duesouthh
1.1337916319187845e+18,False,"This is an account for learning languages. A Duolinger and Wordler.

I'm a Japanese speaker and learning Engllsh, German, Spanish and Dutch.",False,,"{'followers_count': 2, 'following_count': 7, 'tweet_count': 188, 'listed_count': 0}",,Tokio,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1.5028178472479785e+18,pollo,languagemarossa
7.626154818868347e+17,False,ユチョンの声が大好きです。フォローたまに整理します。ユチョペンのペンでもあるので、ユチョペンを傷つける人は許さないっすよ。☔️Raindrops No.5,False,,"{'followers_count': 153, 'following_count': 194, 'tweet_count': 15934, 'listed_count': 0}",,logbookの一員,https://pbs.twimg.com/profile_images/762618263272423425/nQAf6Xxa_normal.jpg,1.3539688358717071e+18,SU 🌻 ^______^ ⭐️,yuchun_su
18521863.0,False,"Happy-go-lucky hiker. Nature is my church. Fairly neat person, I think.",False,https://t.co/DfZV5u12DN,"{'followers_count': 4854, 'following_count': 1587, 'tweet_count': 79999, 'listed_count': 62}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DfZV5u12DN', 'expanded_url': 'http://tonedeafvoice.wordpress.com', 'display_url': 'tonedeafvoice.wordpress.com'}]}}","Colorado, USA",https://pbs.twimg.com/profile_images/1465688916258738183/JT6I94Fh_normal.jpg,1.0349050398930903e+18,My Name Kevin,tonedeafvoice
1106106366.0,False,U ll knw me n a decade,False,,"{'followers_count': 81, 'following_count': 367, 'tweet_count': 5444, 'listed_count': 0}",,🇮🇳,https://pbs.twimg.com/profile_images/1476872431650238466/0qiFK6Vf_normal.jpg,1.4782793532596183e+18,Ärya Stãrk,Visha008
334830645.0,False,"sports enthusiast, Flames fan, enjoy the outdoors, dad of two, not a fan of the cold and snow",False,,"{'followers_count': 235, 'following_count': 329, 'tweet_count': 8773, 'listed_count': 0}",,"Calgary, Alberta",https://pbs.twimg.com/profile_images/1486880370343624704/89G3IaqM_normal.jpg,,Kevin,CdnPostie4life
