id,possibly_sensitive,public_metrics,context_annotations,lang,created_at,text,source,conversation_id,reply_settings,entities,author_id,attachments,referenced_tweets,in_reply_to_user_id,geo
1520795540388302850,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",es,2022-05-01T16:01:26.000Z,"Tranquilos no es madre Wordle (ES)  #115 5/6

⬜🟨🟨⬜🟨
🟨🟩⬜🟩⬜
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/GK73HmUGws",Twitter for Android,1520795540388302850,everyone,"{'annotations': [{'start': 23, 'end': 28, 'probability': 0.3672, 'type': 'Person', 'normalized_text': 'Wordle'}], 'urls': [{'start': 77, 'end': 100, 'url': 'https://t.co/GK73HmUGws', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",3374382394,,,,
1520795537842315275,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040666972', 'name': 'The New York Times'}}]",en,2022-05-01T16:01:25.000Z,"🤬 @nytimes 
Wordle 316 6/6

⬛🟨🟨⬛⬛
🟨🟩⬛⬛⬛
⬛🟩⬛⬛⬛
⬛🟩🟨⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",Twitter for Android,1520795537842315275,everyone,"{'mentions': [{'start': 2, 'end': 10, 'username': 'nytimes', 'id': '807095'}]}",88091871,,,,
1520795536814579713,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T16:01:25.000Z,"Wordle 317 2/6

🟩⬜⬜🟨⬜
🟩🟩🟩🟩🟩",TwitPanePlus,1520795536814579713,everyone,,305335709,,,,
1520795531865255937,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T16:01:24.000Z,"Wordle 317 5/6*

⬛🟨🟩⬛🟨
🟨⬛🟩🟩⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",Twitter Web App,1493300893176905728,everyone,,194011478,,"[{'type': 'replied_to', 'id': '1520434674547380227'}]",194011478,
1520795525762535424,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T16:01:23.000Z,"Wordle 317 4/6

⬜⬜⬜🟨⬜
🟨🟨⬜⬜⬜
🟩⬜⬜🟨🟩
🟩🟩🟩🟩🟩
I love it",Twitter for iPhone,1520795525762535424,everyone,,1423627327645175821,,,,
1520795521933508608,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",ja,2022-05-01T16:01:22.000Z,"Wordle 317 3/6

🟨🟨⬜⬜⬜
🟨🟨⬜⬜🟨
🟩🟩🟩🟩🟩

いい感じ！",Twitter for iPhone,1520795521933508608,everyone,,7563232,,,,
1520795519861551104,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T16:01:21.000Z,"Wordle 317 5/6

⬛🟨⬛⬛⬛
⬛⬛🟨⬛⬛
⬛⬛⬛⬛🟨
🟨⬛⬛⬛🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,1520795519861551104,everyone,,270279346,,,,
1520795519702151168,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T16:01:21.000Z,"Wordle 317 6/6

🟩⬜⬜🟩⬜
🟨🟨⬜⬜⬜
🟩⬜🟩🟩🟨
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",Janetter,1520795519702151168,everyone,,353622115,,,,
1520795509258014720,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T16:01:19.000Z,"Wordle 317 3/6

🟩⬜🟩⬜🟨
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",Twitter for iPhone,1520795509258014720,everyone,,23210457,,,,
1520795503679754240,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T16:01:17.000Z,"Wordle (ES)  #115 5/6

⬜🟨⬜🟨⬜
🟨⬜🟨⬜🟨
🟨🟩⬜🟩⬜
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩

https://t.co/YsdxM83T7v",Twitter for Android,1520795503679754240,everyone,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/YsdxM83T7v', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",591115614,,,,
