,username,url,profile_image_url,location,id,verified,description,name,protected,public_metrics,pinned_tweet_id,entities
48,vaniafromperu,,https://pbs.twimg.com/profile_images/1519141777202200576/I9KFsFQk_normal.jpg,Peru,3432971571,False,"Soy cristiana, pero no como los fanáticos cojudos con los que debes haberte cruzado.",VaL✨,False,"{'followers_count': 184, 'following_count': 333, 'tweet_count': 3977, 'listed_count': 1}",1494107062716059651,
49,niijima,https://t.co/zD9zJ3APSl,https://pbs.twimg.com/profile_images/826462034250199040/fTBn_lvR_normal.jpg,Japan,54782143,False,F.Adrià/S.Arakawa/F.Bacon/Balthus/P.Bausch/J.M.G.LeClézio/M.Duchamp/G.Gould/A.Kiefer/E.Lévinas/Moonriders/S.Ohtake/P.Sollers/F.Truffaut/Y.Yamamoto/YMO/認知症介護10年了,にいじま,False,"{'followers_count': 1137, 'following_count': 556, 'tweet_count': 114688, 'listed_count': 56}",1512779232253861890,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/zD9zJ3APSl', 'expanded_url': 'https://marshmallow-qa.com/niijima', 'display_url': 'marshmallow-qa.com/niijima'}]}}"
50,Fluffvii,,https://pbs.twimg.com/profile_images/1482908869097496577/kCqV_HVx_normal.jpg,𝒾𝓈𝓉𝒽𝑒𝓃𝒹 𝒶 𝒸𝒽𝒶𝓃𝒸𝑒,1019375185533648896,False,"Ay, I'm Fluffy 🐇! i do different things and suck at all of them lol | ReFlex ✧ @Arcbodybuilding ✧ @danceramaltrm ✧ @Vibz1k ✧ @azality ✧ @dober1x ✧ @Crycxcs",Fluffy ❀,False,"{'followers_count': 240, 'following_count': 311, 'tweet_count': 4676, 'listed_count': 1}",1500581104872407040,"{'description': {'mentions': [{'start': 79, 'end': 95, 'username': 'Arcbodybuilding'}, {'start': 98, 'end': 112, 'username': 'danceramaltrm'}, {'start': 115, 'end': 122, 'username': 'Vibz1k'}, {'start': 125, 'end': 133, 'username': 'azality'}, {'start': 136, 'end': 144, 'username': 'dober1x'}, {'start': 147, 'end': 155, 'username': 'Crycxcs'}]}}"
51,ati_len,,https://pbs.twimg.com/profile_images/1346294560872390659/O1YpC5Fl_normal.jpg,.876,938222304,False,"God♡, music is life. Jaftiguan 🇦🇬. Proverbs 3:5-6. #BLM",Ati,False,"{'followers_count': 468, 'following_count': 317, 'tweet_count': 86352, 'listed_count': 3}",910287475066703872,"{'description': {'hashtags': [{'start': 51, 'end': 55, 'tag': 'BLM'}]}}"
52,PaulUTK,,https://pbs.twimg.com/profile_images/1492193033940520967/TuW_OmpV_normal.jpg,"Knoxville, TN",34944653,False,,Paul Peltz Jr,False,"{'followers_count': 47, 'following_count': 167, 'tweet_count': 578, 'listed_count': 1}",,
53,DrShanteSays,https://t.co/PqhkFfXY9m,https://pbs.twimg.com/profile_images/1366744736850210821/fX0rDv2q_normal.jpg,"Chicago, IL",1395501240,False,"Podcaster, Professor, & Wellness Advocate. I help people live Whole and Complete lives through content creation, coaching, & teaching. 💕💚",Dr. Shanté (I’m Speaking),False,"{'followers_count': 2450, 'following_count': 2290, 'tweet_count': 20807, 'listed_count': 269}",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/PqhkFfXY9m', 'expanded_url': 'https://wavve.link/drshantesays/episodes', 'display_url': 'wavve.link/drshantesays/e…'}]}}"
54,jjc094,,https://pbs.twimg.com/profile_images/1520771859218055168/mVofqWBN_normal.jpg,,1427569524971249668,False,i was awoken in the middle of the night by two male voices. one was luann’s,j ✨,False,"{'followers_count': 208, 'following_count': 218, 'tweet_count': 1319, 'listed_count': 0}",,
55,razorback_mikep,,https://pbs.twimg.com/profile_images/1489254294184366080/jhVThQco_normal.jpg,"Fayetteville, AR",198379976,False,"Hog fan, photography, kind of a nice guy, Razorbacks!! 🐗 🐗 🐗",Mike P,False,"{'followers_count': 236, 'following_count': 828, 'tweet_count': 3723, 'listed_count': 0}",,
56,khallandra,,https://pbs.twimg.com/profile_images/1472014185600933894/tVlhz2nC_normal.jpg,Australia,148721094,False,"FateGO Master, Artist, Copic Maniac, Anime & Manga Fan, Rooster Illusion, Island Developer. @khallandra_art for art stuffs. She/her.
Rambling about crap.",khallandra,False,"{'followers_count': 49, 'following_count': 31, 'tweet_count': 9256, 'listed_count': 0}",,"{'description': {'mentions': [{'start': 92, 'end': 107, 'username': 'khallandra_art'}]}}"
57,IDR93413102,,https://pbs.twimg.com/profile_images/1368000438222483457/BQ-iuC9F_normal.jpg,New England,1288055517508546560,False,Trying to be fair and factual unlike rabid right! Believe being left equates with caring and still like dogs more than people.  On Aniwan country 🐾 👹 🇺🇦,Ian Robins,False,"{'followers_count': 445, 'following_count': 699, 'tweet_count': 18225, 'listed_count': 0}",,
58,blablakara,,https://pbs.twimg.com/profile_images/1521460110056464384/9jo5OLDi_normal.jpg,"Paris, France",108275972,False,✌🏻💜,kara⁷ 💜,False,"{'followers_count': 105, 'following_count': 572, 'tweet_count': 44358, 'listed_count': 0}",1486442894735155207,
