,entities,verified,description,profile_image_url,public_metrics,url,username,id,name,protected,location,pinned_tweet_id
67595444,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/NQb47TSlBn', 'expanded_url': 'https://zogan.de', 'display_url': 'zogan.de'}]}}",False,🟩🟩🟩🟧🟧🟧🟧🟧🟧🟧🟧🟩 🟩🟩🟧🟧🟧🟧🟧🟧🟧🟧🟧🟧 🟩🟧⬛⬛🟧🟧🟧🟧🟧🟧⬛⬛ 🟧🟧🟧⬜⬛🟧🟧🟧🟧⬛⬜🟧 🟧🟧🟧⬜⬛⬛⬛⬛⬛⬛⬜🟧 🟧🟧🟧⬜⬛⬜🟧🟧⬜⬛⬜🟧 🟧🟧🟧⬜⬜⬜🟧🟧⬜⬜⬜🟧,https://pbs.twimg.com/profile_images/1478482832708325379/Vg272ynN_normal.jpg,"{'followers_count': 391, 'following_count': 1388, 'tweet_count': 24620, 'listed_count': 15}",https://t.co/NQb47TSlBn,yooogan,,�ogan ␊␀,False,online,
1046442922554593280,,False,"🏬 Madrid  
🌇 Granada
🏘️ Santigo de Alcántara
🌍 Lodz",https://pbs.twimg.com/profile_images/1412686150037299203/VTNiDo3s_normal.jpg,"{'followers_count': 118, 'following_count': 614, 'tweet_count': 3377, 'listed_count': 0}",,andresambrosio6,,andresambrosio72,False,"Legazpi, Madrid",
1054725271515996160,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Wribnfu2IT', 'expanded_url': 'http://instagram.com/timwhodraws', 'display_url': 'instagram.com/timwhodraws'}]}}",False,Dolly Parton & Stevie Nicks stan account. Pokémon collector.,https://pbs.twimg.com/profile_images/1442208524277268484/QVbPBCGT_normal.jpg,"{'followers_count': 150, 'following_count': 428, 'tweet_count': 6804, 'listed_count': 0}",https://t.co/Wribnfu2IT,TimWhoDraws,,⚡️Wooly Tammoth ⚡️,False,"Hell,USA",1521194149868974081
95280642,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/xk8W8ww3c6', 'expanded_url': 'http://www.breezenewspapers.com', 'display_url': 'breezenewspapers.com'}]}}",False,"Pa-born Breeze (Fla.) Newspapers publisher, tweeting about journalism lost, Steelers, Pirates, NFL, fitness, fatness, pop culture, food and life in paradise.",https://pbs.twimg.com/profile_images/1341107337826856961/Rjq3xj5J_normal.jpg,"{'followers_count': 1244, 'following_count': 1069, 'tweet_count': 43573, 'listed_count': 44}",https://t.co/xk8W8ww3c6,15MinutesOnline,,Ray Eckenrode,False,Just south of fame and fortune,1385542018621915143
1233830814015614976,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/OVxcXHJHxp', 'expanded_url': 'https://eskijun.carrd.co/', 'display_url': 'eskijun.carrd.co'}]}, 'description': {'hashtags': [{'start': 29, 'end': 33, 'tag': '文俊辉'}, {'start': 34, 'end': 38, 'tag': '及川徹'}]}}",False,"put a little love on me 
for #文俊辉 #及川徹",https://pbs.twimg.com/profile_images/1520355736504528896/7tfZqb0W_normal.jpg,"{'followers_count': 96, 'following_count': 160, 'tweet_count': 1688, 'listed_count': 0}",https://t.co/OVxcXHJHxp,eskijun,,bri || ling chao's therapist,False,155204,1449658515723751424
1160156186840358912,"{'description': {'mentions': [{'start': 0, 'end': 10, 'username': 'LutonTown'}]}}",False,@LutonTown | Allan Campbell Enjoyer | ⚽️🏎🎯 |,https://pbs.twimg.com/profile_images/1514999139414777860/C-1JD_6a_normal.jpg,"{'followers_count': 127, 'following_count': 742, 'tweet_count': 1999, 'listed_count': 2}",,ltfcronnie,,Ronnie,False,"Oxfordshire, England",1514936706486738945
257416032,,False,"I am an endangered specie of the family Hominidae, subfamily Homininae, tribe Hominini, genus Homo.",https://pbs.twimg.com/profile_images/3355561481/6f59de26a8f0f0e3ecf5d6981a09dce3_normal.jpeg,"{'followers_count': 13, 'following_count': 210, 'tweet_count': 404, 'listed_count': 0}",,ranshenghui,,Chris Martin,False,"Bulacan, Central Luzon",
1307265715867660291,"{'description': {'hashtags': [{'start': 132, 'end': 137, 'tag': 'COYS'}, {'start': 138, 'end': 143, 'tag': 'TTID'}]}}",False,"The Gnome Returns: 4000 followers and 15000+ tweets over 10 years gone because of PC bollocks!!!!!!

ST holder West Stand block 507 #COYS #TTID",https://pbs.twimg.com/profile_images/1342428299910389760/BJ4pbU83_normal.jpg,"{'followers_count': 1212, 'following_count': 1221, 'tweet_count': 5245, 'listed_count': 0}",,SpursGnome65,,Kevin,False,,1455138446205407233
265558021,,False,,https://pbs.twimg.com/profile_images/3750864526/8c3439c7643ddc4fa02d4b0af146ffeb_normal.jpeg,"{'followers_count': 203, 'following_count': 336, 'tweet_count': 1281, 'listed_count': 0}",,metinzuzu,,Metin Kuzucu,False,istanbul,
1319137565824331776,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/dN9t361Sxv', 'expanded_url': 'https://sahyeju.carrd.co/', 'display_url': 'sahyeju.carrd.co'}]}}",False,"multi-stan, probably too many",https://pbs.twimg.com/profile_images/1422627536769486850/dBlOqLna_normal.jpg,"{'followers_count': 99, 'following_count': 215, 'tweet_count': 7078, 'listed_count': 0}",https://t.co/dN9t361Sxv,sahyeju,,christine,False,She/Her | ‘00 | istp-t | ,
187569729,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/VmhpJUWJUH', 'expanded_url': 'https://twitter.com/i/moments/1248281655099310080', 'display_url': 'twitter.com/i/moments/1248…'}]}, 'description': {'hashtags': [{'start': 5, 'end': 10, 'tag': 'WWUF'}, {'start': 16, 'end': 22, 'tag': 'オルガル2'}, {'start': 28, 'end': 34, 'tag': 'マジハロ5'}], 'mentions': [{'start': 67, 'end': 83, 'username': 'realDonaldTrump'}]}}",False,🧗🏻‍♀️#WWUF 🧗🏻‍♀️#オルガル2 🧗🏻‍♀️#マジハロ5 🧗🏻‍♀️最近パチスロ始めてすぐ辞めました🧗🏻‍♀️ サブ垢→ @realDonaldTrump,https://pbs.twimg.com/profile_images/1516100806394937345/q4yzTs0c_normal.jpg,"{'followers_count': 197, 'following_count': 148, 'tweet_count': 73087, 'listed_count': 4}",https://t.co/VmhpJUWJUH,gi0rn05,,フォトカツ！の亡霊,False,家か職場,1016989207024185345
2231020226,,False,hey whatsup hello,https://pbs.twimg.com/profile_images/1505106369858269187/3s0duJCu_normal.jpg,"{'followers_count': 151, 'following_count': 373, 'tweet_count': 901, 'listed_count': 3}",,justlaurenxo,,lauren!,False,,815474220838699008
57454030,,False,"“When you pull on that jersey you’re not just playing for a football club, you’re playing for a people and a cause.” Tommy Burns 🍀🍀🍀",https://pbs.twimg.com/profile_images/1358765491305742339/o5ydQHr5_normal.jpg,"{'followers_count': 5792, 'following_count': 2009, 'tweet_count': 359571, 'listed_count': 83}",,Henriklubo,,Henriklubo,False,Glasgow,
275694489,"{'description': {'hashtags': [{'start': 40, 'end': 45, 'tag': 'wife'}, {'start': 46, 'end': 50, 'tag': 'mum'}, {'start': 51, 'end': 58, 'tag': 'friend'}, {'start': 59, 'end': 67, 'tag': 'teacher'}, {'start': 68, 'end': 75, 'tag': 'sendco'}]}}",False,So shines a good deed in a weary world. #wife #mum #friend #teacher #sendco,https://pbs.twimg.com/profile_images/378800000656468841/86c3c22b2f8690ea63c5e9ecfa00c540_normal.jpeg,"{'followers_count': 75, 'following_count': 442, 'tweet_count': 3000, 'listed_count': 1}",,kindramb,,Mrs B 🐝,False,,
1416162505408274433,,False,🤠,https://pbs.twimg.com/profile_images/1504999781634084868/ROK_296A_normal.jpg,"{'followers_count': 17, 'following_count': 18, 'tweet_count': 246, 'listed_count': 0}",,danniielsb,,Dani lunesexual,False,jerez,
1372559717009125380,,False,,https://pbs.twimg.com/profile_images/1451335004315918339/amBLZ1aF_normal.jpg,"{'followers_count': 10, 'following_count': 127, 'tweet_count': 141, 'listed_count': 0}",,kthrnjcksn23,,Katherine Jackson,False,"Pittsburgh, PA",
141153530,,False,"Labour & active travel supporter, hankering after a closer relationship with the EU.
All tweets are my own, and likes & shares are in a personal capacity.",https://pbs.twimg.com/profile_images/1491429828951781383/G31xSz4A_normal.jpg,"{'followers_count': 321, 'following_count': 356, 'tweet_count': 28447, 'listed_count': 0}",,kevshaw99,,Kevin Shaw🌹Join a union💉💉💉😷,False,,1521084629012340738
18601259,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/KE3ND8pkwn', 'expanded_url': 'https://www.amazon.co.uk/hz/wishlist/ls/21SUEQTE38RVQ?ref_=wl_share', 'display_url': 'amazon.co.uk/hz/wishlist/ls…'}]}}",False,"30, Scientist, Bisexual Bilingual, Polyamorous Pansexual and Author.  🌍🚀🌌🏳️‍🌈 pronouns: any.",https://pbs.twimg.com/profile_images/1516804373116030979/HX2gdbRK_normal.jpg,"{'followers_count': 4663, 'following_count': 4946, 'tweet_count': 124868, 'listed_count': 19}",https://t.co/KE3ND8pkwn,Firesnakious,,Manticore,False,Field of dreams,1204470243483115529
534467620,,False,no random DMS please,https://pbs.twimg.com/profile_images/1393119659063394305/4dVyIgQB_normal.jpg,"{'followers_count': 259, 'following_count': 201, 'tweet_count': 999, 'listed_count': 0}",,audreyg57,,Audrey Gray,False,Dublin Ireland,
333454437,,False,"¡¡Te quiero a ti, que me dejaste y me guías desde el cielo!!",https://pbs.twimg.com/profile_images/487137699875549184/0-RZFTUx_normal.jpeg,"{'followers_count': 105, 'following_count': 367, 'tweet_count': 5840, 'listed_count': 1}",,serzazo,,SZazo,False,,
1387379059,,False,Claiming my account back!,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"{'followers_count': 36, 'following_count': 59, 'tweet_count': 146, 'listed_count': 0}",,rahimhasnani,,Rahim Hasnani,False,,
2878221244,,False,,https://pbs.twimg.com/profile_images/1352981686015954950/7lGVBbvQ_normal.jpg,"{'followers_count': 7, 'following_count': 21, 'tweet_count': 526, 'listed_count': 0}",,TregramSable,,GranMa,False,Hertfordshire,
2361162531,,False,"Maestra en Educación Primaria-UCM.👣
Teacher in Primary School.",https://pbs.twimg.com/profile_images/1511110241278218255/Fnlw5zS__normal.jpg,"{'followers_count': 1109, 'following_count': 539, 'tweet_count': 74314, 'listed_count': 2}",,criis1812,,Cristina,False,,1402208043358732290
