id,description,url,name,profile_image_url,public_metrics,location,verified,username,entities,pinned_tweet_id,protected,withheld
132651009,#Bitcoin,,Naranjo,https://pbs.twimg.com/profile_images/1353018510222487552/ExWLlQ95_normal.jpg,"{'followers_count': 279, 'following_count': 935, 'tweet_count': 13796, 'listed_count': 0}",,False,naranjito_ok,"{'description': {'hashtags': [{'start': 0, 'end': 8, 'tag': 'Bitcoin'}]}}",,False,
3301870805,"Escorpiana 🦂, fan de MUSE y The Rolling Stones 👄, #TeamInvierno, siempre con las uñas afiladas",,Carolyn Cavill,https://pbs.twimg.com/profile_images/1211634776165306369/3eTeFHz3_normal.jpg,"{'followers_count': 37, 'following_count': 354, 'tweet_count': 3025, 'listed_count': 0}","Hurlingham, Argentina",False,1CaroBellamy,"{'description': {'hashtags': [{'start': 50, 'end': 63, 'tag': 'TeamInvierno'}]}}",,False,
1519085841150140416,,,Lloyd,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"{'followers_count': 1, 'following_count': 19, 'tweet_count': 6, 'listed_count': 0}",,False,Lloyd71518674,,,False,
1346582388718100480,19 | Autistic | aka @griz_33_ | MC Hardcore and math enthusiast | I’m the only gamer that actively touches grass | pfp and banner by me,https://t.co/EHgcYcq2Ha,Griz / Cosmic,https://pbs.twimg.com/profile_images/1390806657681199105/pYtMWSUd_normal.jpg,"{'followers_count': 9, 'following_count': 8, 'tweet_count': 1815, 'listed_count': 1}",He/They,False,Cosmic_Mango33,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/EHgcYcq2Ha', 'expanded_url': 'https://open.spotify.com/user/cosmicmango729?si=lzfoTQ9jQOibb2TCIsRpag', 'display_url': 'open.spotify.com/user/cosmicman…'}]}, 'description': {'mentions': [{'start': 20, 'end': 29, 'username': 'griz_33_'}]}}",1.4734215487489516e+18,False,
1146521686692564992,"Just a writer in Nashville, where scooters litter the sidewalks as much as tower cranes do the skyline. He/him.",https://t.co/5btQvriHxV,Mike Kiggins,https://pbs.twimg.com/profile_images/1502524926141607936/BdblKLmy_normal.jpg,"{'followers_count': 330, 'following_count': 716, 'tweet_count': 5659, 'listed_count': 5}",Music City,False,MikeKiggins,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/5btQvriHxV', 'expanded_url': 'http://heavytomorrow.com', 'display_url': 'heavytomorrow.com'}]}}",1.501281815360856e+18,False,
101036851,"Duq Alum | this feed is wordle scores, retweets and the occasional original thought",https://t.co/WPQtIhJen2,andrew,https://pbs.twimg.com/profile_images/1146228190253387776/v88FdHle_normal.jpg,"{'followers_count': 451, 'following_count': 334, 'tweet_count': 22245, 'listed_count': 2}",The Burgh,False,ayyrusso17,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/WPQtIhJen2', 'expanded_url': 'http://Instagram.com/ayyrusso17', 'display_url': 'Instagram.com/ayyrusso17'}]}}",,False,
15668001,"Designing websites has been my jam since 2002. It's all about #WordPress. The ""OG"" @GoDaddyPro Ambassador. She/her. I love #alkibeach and the PNW. I opine.",https://t.co/PLR6SZIMwI,Cami MacNamara,https://pbs.twimg.com/profile_images/1521502990359613440/RgT9uIqX_normal.jpg,"{'followers_count': 8984, 'following_count': 4631, 'tweet_count': 53927, 'listed_count': 319}","Seattle, WA",False,WebCami,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/PLR6SZIMwI', 'expanded_url': 'https://webcami.com', 'display_url': 'webcami.com'}]}, 'description': {'hashtags': [{'start': 62, 'end': 72, 'tag': 'WordPress'}, {'start': 123, 'end': 133, 'tag': 'alkibeach'}], 'mentions': [{'start': 83, 'end': 94, 'username': 'GoDaddyPro'}]}}",,False,
1460949982752739328,"Wife, mom of 3, Christ follower. Freelance writer. Used to be @jennyitup til I got hacked. :( I abhor racism and love vaccines.",https://t.co/QJ4ooSOeZK,Jenny Michelle Rapson,https://pbs.twimg.com/profile_images/1507723005069307905/TMGEJNEB_normal.jpg,"{'followers_count': 63, 'following_count': 241, 'tweet_count': 836, 'listed_count': 1}","Dayton, OH ",False,jennymrapson,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/QJ4ooSOeZK', 'expanded_url': 'http://jennyrapson.com', 'display_url': 'jennyrapson.com'}]}, 'description': {'mentions': [{'start': 62, 'end': 72, 'username': 'jennyitup'}]}}",,False,
867841739503132672,"Former Western New Yorker.  Buffalo Bills, Buffalo Sabres, and New York Yankees fan #billsmafia",,Jeremy Powley,https://pbs.twimg.com/profile_images/962749179935313922/ZNM8CUFE_normal.jpg,"{'followers_count': 41, 'following_count': 324, 'tweet_count': 176, 'listed_count': 0}","San Antonio, TX",False,JeremyPowley,"{'description': {'hashtags': [{'start': 84, 'end': 95, 'tag': 'billsmafia'}]}}",,False,
32132743,My tweets are all me. thanks for stopping by. she/her,https://t.co/AEHVWsoRZM,*designed & directed by his red right hand*,https://pbs.twimg.com/profile_images/1501174428381687814/nKO2_DSb_normal.jpg,"{'followers_count': 122, 'following_count': 618, 'tweet_count': 4322, 'listed_count': 0}","Missouri, USA",False,Hope_Elaine2990,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/AEHVWsoRZM', 'expanded_url': 'http://hopeshock.blogspot.com', 'display_url': 'hopeshock.blogspot.com'}]}}",1.3727082052902666e+18,False,
